hour,content_count,comment_count,reply_count,like_sum,max_like
2026-01-17 15:00,1,1,0,11,11
2026-01-17 20:00,1,1,0,24,24
2026-01-17 21:00,1,0,1,18,18
2026-01-18 00:00,1,0,1,28,28
2026-01-18 05:00,1,1,0,2,2
2026-01-19 20:00,1,1,0,156,156
2026-01-25 18:00,1,1,0,0,0
2026-02-05 18:00,1,1,0,0,0
2026-05-28 03:00,1,1,0,1,1
2026-05-31 20:00,1,1,0,1,1
