source_id,source_title,topic_label,content_count,content_percent,is_dominant
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,other_unclear,18,33.96,true
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,prepared_food_authenticity,12,22.64,false
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,luoyonghao_persona,6,11.32,false
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,price_value,5,9.43,false
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,consumer_right_to_know,4,7.55,false
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,mockery_meme,3,5.66,false
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,catering_industry_general,2,3.77,false
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,food_safety_child_meal,2,3.77,false
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,brand_pr_crisis,1,1.89,false
bilibili_video:115191693968861,罗永浩9月12日西贝门事件直播全程,prepared_food_authenticity,11,50.0,true
bilibili_video:115191693968861,罗永浩9月12日西贝门事件直播全程,other_unclear,4,18.18,false
bilibili_video:115191693968861,罗永浩9月12日西贝门事件直播全程,food_safety_child_meal,2,9.09,false
bilibili_video:115191693968861,罗永浩9月12日西贝门事件直播全程,luoyonghao_persona,1,4.55,false
bilibili_video:115191693968861,罗永浩9月12日西贝门事件直播全程,catering_industry_general,1,4.55,false
bilibili_video:115191693968861,罗永浩9月12日西贝门事件直播全程,mockery_meme,1,4.55,false
bilibili_video:115191693968861,罗永浩9月12日西贝门事件直播全程,consumer_right_to_know,1,4.55,false
bilibili_video:115191693968861,罗永浩9月12日西贝门事件直播全程,price_value,1,4.55,false
bilibili_video:115191777923213,从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！,other_unclear,16,53.33,true
bilibili_video:115191777923213,从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！,luoyonghao_persona,10,33.33,false
bilibili_video:115191777923213,从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！,catering_industry_general,2,6.67,false
bilibili_video:115191777923213,从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！,price_value,1,3.33,false
