source_id,source_title,sentiment_label,content_count,content_percent,is_dominant
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,neutral,29,54.72,true
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,sarcastic,11,20.75,false
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,negative,11,20.75,false
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,positive,2,3.77,false
bilibili_video:115191693968861,罗永浩9月12日西贝门事件直播全程,neutral,13,59.09,true
bilibili_video:115191693968861,罗永浩9月12日西贝门事件直播全程,sarcastic,4,18.18,false
bilibili_video:115191693968861,罗永浩9月12日西贝门事件直播全程,negative,3,13.64,false
bilibili_video:115191693968861,罗永浩9月12日西贝门事件直播全程,positive,2,9.09,false
bilibili_video:115191777923213,从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！,neutral,25,83.33,true
bilibili_video:115191777923213,从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！,sarcastic,4,13.33,false
bilibili_video:115191777923213,从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！,positive,1,3.33,false
bilibili_video:115192130181384,罗永浩痛批西贝太缺德！一个馒头卖21块，比米其林餐厅还贵！#罗永浩#西贝#预制菜#太离谱,neutral,15,60.0,true
bilibili_video:115192130181384,罗永浩痛批西贝太缺德！一个馒头卖21块，比米其林餐厅还贵！#罗永浩#西贝#预制菜#太离谱,sarcastic,8,32.0,false
bilibili_video:115192130181384,罗永浩痛批西贝太缺德！一个馒头卖21块，比米其林餐厅还贵！#罗永浩#西贝#预制菜#太离谱,negative,2,8.0,false
bilibili_video:115195083034113,西贝创始人贾国龙回应预制菜风波，我们是不一般的预制菜。,neutral,16,57.14,true
bilibili_video:115195083034113,西贝创始人贾国龙回应预制菜风波，我们是不一般的预制菜。,sarcastic,7,25.0,false
bilibili_video:115195083034113,西贝创始人贾国龙回应预制菜风波，我们是不一般的预制菜。,negative,4,14.29,false
bilibili_video:115195083034113,西贝创始人贾国龙回应预制菜风波，我们是不一般的预制菜。,positive,1,3.57,false
bilibili_video:115196525805764,罗永浩吐槽，西贝戗面馒头每个21元，黑珍珠一钻餐厅包子只要16元,neutral,27,72.97,true
bilibili_video:115196525805764,罗永浩吐槽，西贝戗面馒头每个21元，黑珍珠一钻餐厅包子只要16元,sarcastic,5,13.51,false
bilibili_video:115196525805764,罗永浩吐槽，西贝戗面馒头每个21元，黑珍珠一钻餐厅包子只要16元,negative,5,13.51,false
bilibili_video:115196894908031,罗永浩也是懵了，自杀式公关还是第一次见。,neutral,14,70.0,true
bilibili_video:115196894908031,罗永浩也是懵了，自杀式公关还是第一次见。,sarcastic,4,20.0,false
bilibili_video:115196894908031,罗永浩也是懵了，自杀式公关还是第一次见。,negative,2,10.0,false
bilibili_video:115197800941925,罗永浩PK西贝，全程55分钟脱口秀，【无删减】火力全开，直播回放太精彩,neutral,14,53.85,true
bilibili_video:115197800941925,罗永浩PK西贝，全程55分钟脱口秀，【无删减】火力全开，直播回放太精彩,sarcastic,7,26.92,false
bilibili_video:115197800941925,罗永浩PK西贝，全程55分钟脱口秀，【无删减】火力全开，直播回放太精彩,negative,5,19.23,false
bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,neutral,34,66.67,true
bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,sarcastic,14,27.45,false
bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,negative,2,3.92,false
bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,positive,1,1.96,false
bilibili_video:115206659249643,罗永浩与西贝争论事件原委 一条视频告诉你,neutral,8,61.54,true
bilibili_video:115206659249643,罗永浩与西贝争论事件原委 一条视频告诉你,sarcastic,2,15.38,false
bilibili_video:115206659249643,罗永浩与西贝争论事件原委 一条视频告诉你,negative,2,15.38,false
bilibili_video:115206659249643,罗永浩与西贝争论事件原委 一条视频告诉你,positive,1,7.69,false
bilibili_video:115206827021040,罗永浩与西贝预制菜之争持续发酵，西贝自证变自爆“大翻车”，媒体评：尊重消费者知情权，自然有人为“真诚”买单,neutral,11,55.0,true
bilibili_video:115206827021040,罗永浩与西贝预制菜之争持续发酵，西贝自证变自爆“大翻车”，媒体评：尊重消费者知情权，自然有人为“真诚”买单,sarcastic,6,30.0,false
bilibili_video:115206827021040,罗永浩与西贝预制菜之争持续发酵，西贝自证变自爆“大翻车”，媒体评：尊重消费者知情权，自然有人为“真诚”买单,negative,3,15.0,false
bilibili_video:115208706064466,罗永浩vs西贝事件 来龙去脉 一口气看完！！！,neutral,19,65.52,true
bilibili_video:115208706064466,罗永浩vs西贝事件 来龙去脉 一口气看完！！！,negative,8,27.59,false
bilibili_video:115208706064466,罗永浩vs西贝事件 来龙去脉 一口气看完！！！,sarcastic,2,6.9,false
bilibili_video:115211222653264,罗永浩是怎么把西贝搞翻车的？,sarcastic,9,42.86,true
bilibili_video:115211222653264,罗永浩是怎么把西贝搞翻车的？,neutral,8,38.1,false
bilibili_video:115211222653264,罗永浩是怎么把西贝搞翻车的？,negative,4,19.05,false
bilibili_video:115212816485947,罗永浩：我真没打，他就先捅了自己20多刀...我该怎么办？,neutral,15,71.43,true
bilibili_video:115212816485947,罗永浩：我真没打，他就先捅了自己20多刀...我该怎么办？,sarcastic,5,23.81,false
bilibili_video:115212816485947,罗永浩：我真没打，他就先捅了自己20多刀...我该怎么办？,negative,1,4.76,false
bilibili_video:115245498500488,罗永浩：我这辈子没打过这么离谱的仗，对方上来先捅了自己20多刀…,neutral,16,80.0,true
bilibili_video:115245498500488,罗永浩：我这辈子没打过这么离谱的仗，对方上来先捅了自己20多刀…,sarcastic,3,15.0,false
bilibili_video:115245498500488,罗永浩：我这辈子没打过这么离谱的仗，对方上来先捅了自己20多刀…,negative,1,5.0,false
bilibili_video:115900413909566,【罗永浩西贝事件】每一步操作都精准地直接踩在爆点上！论餐饮王国贾老板的自我引爆！,neutral,25,64.1,true
bilibili_video:115900413909566,【罗永浩西贝事件】每一步操作都精准地直接踩在爆点上！论餐饮王国贾老板的自我引爆！,sarcastic,10,25.64,false
bilibili_video:115900413909566,【罗永浩西贝事件】每一步操作都精准地直接踩在爆点上！论餐饮王国贾老板的自我引爆！,negative,4,10.26,false
