source_id,source_title,stance_label,content_count,content_percent,like_sum,avg_like,max_like
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,question_xibei,26,49.06,12003,461.65,3209
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,unclear_meme,23,43.4,7454,324.09,2318
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,neutral_discussion,3,5.66,287,95.67,191
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,support_luoyonghao,1,1.89,3297,3297.0,3297
bilibili_video:115191693968861,罗永浩9月12日西贝门事件直播全程,question_xibei,9,40.91,182,20.22,73
bilibili_video:115191693968861,罗永浩9月12日西贝门事件直播全程,neutral_discussion,6,27.27,114,19.0,74
bilibili_video:115191693968861,罗永浩9月12日西贝门事件直播全程,unclear_meme,6,27.27,338,56.33,258
bilibili_video:115191693968861,罗永浩9月12日西贝门事件直播全程,support_luoyonghao,1,4.55,192,192.0,192
bilibili_video:115191777923213,从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！,unclear_meme,22,73.33,5602,254.64,2014
bilibili_video:115191777923213,从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！,support_luoyonghao,4,13.33,4818,1204.5,4525
bilibili_video:115191777923213,从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！,neutral_discussion,3,10.0,217,72.33,189
bilibili_video:115191777923213,从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！,question_xibei,1,3.33,2,2.0,2
bilibili_video:115192130181384,罗永浩痛批西贝太缺德！一个馒头卖21块，比米其林餐厅还贵！#罗永浩#西贝#预制菜#太离谱,unclear_meme,14,56.0,82,5.86,16
bilibili_video:115192130181384,罗永浩痛批西贝太缺德！一个馒头卖21块，比米其林餐厅还贵！#罗永浩#西贝#预制菜#太离谱,question_xibei,9,36.0,150,16.67,61
bilibili_video:115192130181384,罗永浩痛批西贝太缺德！一个馒头卖21块，比米其林餐厅还贵！#罗永浩#西贝#预制菜#太离谱,question_luoyonghao,1,4.0,95,95.0,95
bilibili_video:115192130181384,罗永浩痛批西贝太缺德！一个馒头卖21块，比米其林餐厅还贵！#罗永浩#西贝#预制菜#太离谱,support_xibei,1,4.0,0,0.0,0
bilibili_video:115195083034113,西贝创始人贾国龙回应预制菜风波，我们是不一般的预制菜。,question_xibei,15,53.57,2454,163.6,689
bilibili_video:115195083034113,西贝创始人贾国龙回应预制菜风波，我们是不一般的预制菜。,unclear_meme,10,35.71,779,77.9,435
