user_id,user_name,in_degree,out_degree,total_degree,source_count,content_count,received_like_sum,dominant_topic,dominant_sentiment,dominant_stance,component_id
bilibili:37087045,皇后的头风,2,13,15,1,14,2830,other_unclear,neutral,unclear_meme,1
bilibili:4192759,飘酱_,2,1,3,1,2,3294,price_value,sarcastic,question_xibei,1
bilibili:12332519,珠希酱-一分流水,2,0,2,1,1,134,food_safety_child_meal,neutral,support_xibei,32
bilibili:13247947,末然ン羽,2,0,2,1,1,68,brand_pr_crisis,negative,question_xibei,9
bilibili:13327156,cvfgji,2,0,2,1,1,738,prepared_food_authenticity,sarcastic,question_xibei,33
bilibili:14046072,Mikoyan21,2,0,2,1,1,10287,prepared_food_authenticity,sarcastic,question_xibei,8
bilibili:1467643346,橘柚橸,2,0,2,1,1,639,other_unclear,neutral,unclear_meme,38
bilibili:149045078,落车six,2,0,2,1,1,288,brand_pr_crisis,neutral,unclear_meme,30
bilibili:15350722,MISSC0622,2,0,2,1,1,794,prepared_food_authenticity,negative,question_xibei,17
bilibili:16569302,弃庸乎,2,0,2,1,1,5203,mockery_meme,neutral,unclear_meme,15
bilibili:166576396,滑雪雪豹,2,0,2,1,1,81,food_safety_child_meal,sarcastic,question_xibei,1
bilibili:173244991,大方向是对的长长名字,2,0,2,1,1,659,other_unclear,neutral,unclear_meme,14
bilibili:17545884,ray21121,2,0,2,1,1,251,brand_pr_crisis,sarcastic,question_xibei,29
bilibili:179911944,9mm空尖弹,2,0,2,1,1,1643,other_unclear,neutral,question_xibei,24
bilibili:19412032,鸣谦s,2,0,2,1,1,380,price_value,negative,question_xibei,5
bilibili:1975211,IlIlIlIIllIIlIlI,2,0,2,1,1,537,food_safety_child_meal,negative,question_xibei,39
bilibili:209499579,尾张大傻瓜织田信长,2,0,2,1,1,294,prepared_food_authenticity,neutral,question_xibei,3
bilibili:21895343,穿趿拉板吃涮锅子,2,0,2,1,1,3297,consumer_right_to_know,positive,support_luoyonghao,1
bilibili:233587785,_旧青年,2,0,2,1,1,378,price_value,sarcastic,unclear_meme,2
bilibili:240823190,晨沁心,2,0,2,1,1,3,brand_pr_crisis,neutral,unclear_meme,18
bilibili:24556340,鱼刺931,2,0,2,1,1,1358,other_unclear,neutral,unclear_meme,1
bilibili:261892524,大明瓦学弟朱祁镇,2,0,2,1,1,1539,prepared_food_authenticity,neutral,question_xibei,23
bilibili:26391649,欢喵爱吃鱼,2,0,2,1,1,611,food_safety_child_meal,negative,question_xibei,26
bilibili:279661,JIUQIANSHUODAO,2,0,2,1,1,1206,prepared_food_authenticity,sarcastic,question_xibei,1
bilibili:2800590,cheefay,2,0,2,1,1,3547,food_safety_child_meal,sarcastic,question_xibei,12
bilibili:321667815,代号x该隐1,2,0,2,1,1,1328,brand_pr_crisis,neutral,question_xibei,1
bilibili:33709459,猪呆呆吃玉米,2,0,2,1,1,1801,other_unclear,neutral,unclear_meme,40
bilibili:346432948,agere23,2,0,2,1,1,471,other_unclear,positive,unclear_meme,28
bilibili:3493289095334193,Sjasth,2,0,2,1,1,30,catering_industry_general,sarcastic,unclear_meme,1
bilibili:357773251,特立独醒的猫先森,2,0,2,1,1,498,mockery_meme,sarcastic,unclear_meme,20
bilibili:362166833,清风夏天鸣蝉,2,0,2,1,1,3880,mockery_meme,sarcastic,unclear_meme,22
bilibili:386825429,黄辉冯师傅,2,0,2,1,1,520,prepared_food_authenticity,sarcastic,question_xibei,35
bilibili:396015923,广东广西大件搬家物流,2,0,2,1,1,96,catering_industry_general,neutral,neutral_discussion,1
bilibili:405069934,jonning的小号,2,0,2,1,1,778,prepared_food_authenticity,sarcastic,question_xibei,1
bilibili:40853970,演员熊凤山,2,0,2,1,2,2680,prepared_food_authenticity,neutral,unclear_meme,19
bilibili:4121086,黑_李子,2,0,2,1,1,689,other_unclear,neutral,question_xibei,34
bilibili:419175194,杉木橦,2,0,2,1,1,2014,other_unclear,neutral,unclear_meme,21
bilibili:450664995,珠海的科学R,2,0,2,1,1,220,catering_industry_general,negative,question_xibei,7
bilibili:494463119,我在辟谷,2,0,2,1,1,59,other_unclear,neutral,unclear_meme,37
bilibili:494471075,-该用户账号注销-,2,0,2,1,1,573,prepared_food_authenticity,sarcastic,question_xibei,25
bilibili:509046121,我在银河烤翅膀,2,0,2,1,1,241,prepared_food_authenticity,sarcastic,question_xibei,41
bilibili:57167867,饭巴斯滕,2,0,2,1,1,112,price_value,negative,question_xibei,4
bilibili:666839416,看视频的工程师,2,0,2,1,1,62,other_unclear,neutral,unclear_meme,31
bilibili:6720185,左旋Cs,2,0,2,1,1,19,price_value,neutral,question_xibei,10
bilibili:68389788,休伯利安号战列巡航舰,2,0,2,1,1,420,other_unclear,neutral,question_xibei,6
bilibili:7644696,吧啦吧啦kimoji,2,0,2,1,1,2521,prepared_food_authenticity,neutral,question_xibei,27
bilibili:76754981,与你共鸣也共进退,2,0,2,1,1,4,other_unclear,negative,unclear_meme,36
bilibili:8378946,WzZP,2,0,2,1,1,404,prepared_food_authenticity,neutral,question_xibei,11
bilibili:8396203,怡红公子不懂爱,2,0,2,1,1,2318,mockery_meme,sarcastic,unclear_meme,1
bilibili:88525105,鹿的洗碗人,2,0,2,1,1,839,other_unclear,neutral,question_xibei,13
bilibili:90581079,我的艾达老婆,2,0,2,1,1,401,other_unclear,neutral,unclear_meme,16
bilibili:14455663,右乘行满秩不变,0,2,2,1,2,103,catering_industry_general,sarcastic,unclear_meme,2
bilibili:1042288531,干三干,1,0,1,1,1,100,brand_pr_crisis,neutral,question_xibei,74
bilibili:1111924044,站着不動装糕手,1,0,1,1,1,124,prepared_food_authenticity,neutral,question_xibei,43
bilibili:11630400,AyLi丶,1,0,1,1,1,52,other_unclear,neutral,question_xibei,47
bilibili:11646949,柘月听桑落,1,0,1,1,1,37,mockery_meme,neutral,question_xibei,65
bilibili:1216717318,b站b站真好玩啊,1,0,1,1,1,9,prepared_food_authenticity,neutral,neutral_discussion,60
bilibili:14811631,人生巛一问号,1,0,1,1,1,76,other_unclear,neutral,unclear_meme,69
bilibili:15904760,小能苗绝不投降,1,0,1,1,1,1283,prepared_food_authenticity,sarcastic,question_xibei,1
bilibili:164099874,叁石头,1,0,1,1,1,397,consumer_right_to_know,neutral,unclear_meme,63
bilibili:2151196,尼奥特里斯里德,1,0,1,1,1,369,brand_pr_crisis,sarcastic,question_xibei,71
bilibili:21790653,啊南1988,1,0,1,1,1,47,prepared_food_authenticity,neutral,question_xibei,64
bilibili:21921544,与娄葑门,1,0,1,1,1,237,prepared_food_authenticity,sarcastic,question_xibei,53
bilibili:304111943,未定之两,1,0,1,1,1,354,prepared_food_authenticity,neutral,question_xibei,73
